Date,Open,High,Low,Close,Adj Close,Volume
15-02-16,6.699,6.864,6.6825,6.7815,5.892277512,323433
16-02-16,6.8805,7.029,6.831,6.9795,6.064314465,332145
17-02-16,7.0455,7.095,6.93,6.93,6.021305103,221661
18-02-16,7.062,7.26,7.029,7.26,6.308033886,356796
19-02-16,7.326,7.359,7.194,7.2765,6.32237067,179289
22-02-16,7.3425,7.6065,7.3095,7.557,6.566090091,356037
23-02-16,7.6395,7.656,7.524,7.623,6.623435247,272943
24-02-16,7.59,7.59,7.458,7.491,6.50874444,175461
25-02-16,7.59,7.755,7.557,7.7385,6.723790293,254232
26-02-16,7.722,7.8375,7.6725,7.788,6.76680015,193875
01-03-16,7.7055,7.7385,7.6065,7.6725,6.666444642,159489
02-03-16,7.7715,7.788,7.7055,7.722,6.709454004,151272
03-03-16,7.8045,8.019,7.8045,7.92,6.88149198,286968
04-03-16,7.953,7.953,7.8375,7.92,6.88149198,125862
07-03-16,7.986,8.019,7.722,7.755,6.738127572,149853
08-03-16,7.788,7.8705,7.623,7.755,6.738127572,151305
09-03-16,7.689,7.8705,7.59,7.8705,6.83848209,191037
10-03-16,7.8705,7.887,7.6725,7.6725,6.666444642,171171
11-03-16,7.7385,7.986,7.722,7.953,6.910164558,241758
14-03-16,8.085,8.679,8.085,8.58,7.454949051,566412
15-03-16,8.679,8.745,8.151,8.184,7.110874617,445896
16-03-16,8.2665,8.4315,8.25,8.3325,7.239902703,198198
17-03-16,8.514,8.58,8.316,8.3325,7.239902703,333432
18-03-16,8.382,8.514,8.349,8.514,7.3976034,258522
21-03-16,8.448,8.481,8.3655,8.481,7.368930822,155463
22-03-16,8.4645,8.4645,8.0355,8.184,7.110874617,260106
23-03-16,8.0685,8.2335,7.92,8.0355,6.981846498,204732
24-03-16,8.0355,8.1675,8.0025,8.118,7.053529461,138501
25-03-16,8.1675,8.1675,8.019,8.0355,6.981846498,59433
28-03-16,8.0355,8.052,7.854,7.92,6.88149198,103356
29-03-16,7.9035,8.184,7.9035,8.052,6.996182787,129261
